"","x"
"1","what said"
"2","plus youve added commercials to the experience tacky"
"3","i didnt today must mean i need to take another trip"
"4","its really aggressive to blast obnoxious entertainment in your guests faces amp they have little recourse"
"5","and its a really big bad thing about it"
"6","seriously would paya flight for seats that didnt have this playing
its really the only bad thing about flying va"
"7","yes nearly every time i fly vx this ‚Äúear worm‚Äù won‚Äôt go away"
"8","really missed a prime opportunity for men without hats parody there"
"9","well i didnt‚Äbut now i do d"
"10","it was amazing and arrived an hour early youre too good to me"
"11","did you know that suicide is the second leading cause of death among teens"
"12","i lt pretty graphics so much better than minimal iconography d"
"13","this is such a great deal already thinking about my nd trip to amp i havent even gone on my st trip yet p"
"14","im flying your skies again u take all the away from travel"
"15","thanks"
"16","sfopdx schedule is still mia"
"17","so excited for my first cross country flight lax to mco ive heard nothing but great things about virgin america"
"18","i flew from nyc to sfo last week and couldnt fully sit in my seat due to two large gentleman on either side of me help"
"19","i ‚ùÔè flying‚òÔèˇëç"
"20","you know what would be amazingly awesome bosfll please i want to fly with only you"
"21","why are your first fares in may over three times more than other carriers when all seats are available to select"
"22","i love this graphic"
"23","i love the hipster innovation you are a feel good brand"
"24","will you be making bosgtlas non stop permanently anytime soon"
"25","you guys messed up my seating i reserved seating with my friends and you guys gave my seat awayˇò i want free internet"
"26","status match programi applied and its been three weekscalled and emailed with no response"
"27","what happenedur vegan food options at least say on ur site so i know i wont be ableeat anything for nexthrs"
"28","do you miss me dont worry well be together very soon"
"29","amazing to me that we cant get any cold air from the vents"
"30","lax to ewrmiddle seat on a red eye such a noob maneuver"
"31","hi i just bked a cool birthday trip with you but i cant add my elevate no cause i entered my middle name during flight booking problems ˇò"
"32","are the hours of operation for the club at sfo that are posted online current"
"33","help left expensive headphones on flightiad to lax today seat a no one answering lampf number at lax"
"34","awaiting my return phone call just would prefer to use your online selfservice option"
"35","this is great newsamerica could start flights to hawaii by end of yearvia"
"36","nice rtvibe with the moodlight from takeoff to touchdown"
"37","moodlighting is the only way to fly best experience ever cool and calming ˇíú‚úà"
"38","done and done best airline around hands down"
"39","when can i book my flight to hawaii"
"40","your chat support is not working on your site"
"41","view of downtown los angeles the hollywood sign and beyond that rain in the mountains"
"42","hey first time flyer next weekexcited but im having a hard time getting my flights added to my elevate account help"
"43","plz help me win my bid upgrade for my flightlaxgtseaˇçˇëçˇí‚úàÔè"
"44","i have an unused ticket but moved to a new city where you dont fly how can i fly with you before it expires"
"45","are flights leaving dallas for seattle on time feb"
"46","im for a good reason you rock"
"47","dream"
"48","wow this just blew my mind"
"49","after last nighti think agree"
"50","all were entertaining"
"51","is flight on its way was supposed to take offminutes ago website still shows on time not in flight thanks"
"52","julie andrews all the way though was very impressive no to"
"53","wish you flew out of atlanta soon"
"54","julie andrews hands down"
"55","will flights be leaving dallas for la on february th"
"56","hi im so excited about yourlgagtdal deal but ive been tryingbook since last week amp the page never loads thx"
"57","you know it need it on my spotify stat"
"58","im lady gaga she is amazing ˇòö"
"59","carrie"
"60","new marketing songlet us know what you think"
"61","julie andrews first but lady gaga wowd me last night carrie meh"
"62","i called aweeks ago about addingflights from to my elevatethey still havent shown uphelp"
"63","all are greatbut i have to go with ˇòçˇëú"
"64","sorry mary martin had it first"
"65","love all three but you really cant beat the classics"
"66","flight dal to dcapm tried to check in could not status please"
"67","heyyyy guyyyys been trying to get through for an hour can someone call me please"
"68","hi virgin im on hold forminutesare there any earlier flights from la to nyc tonight earlier than pm"
"69","congrats on winning the award for best deals from an airline us"
"70","everything was fine until you lost my bag"
"71","need to change reservation have virgin credit card do i need to modify on phone to waive change fee or can i do online"
"72","i emailed your customer service team let me know if you need the tracking number"
"73","hi i just booked a flight but need to add baggage how can i do this"
"74","your airline is awesome but your lax loft needs to step up its gamefor dirty tables and floors"
"75","not worried its been a great ride in a new plane with great crew all airlines should be like this"
"76","awesome i flew yall sat morning any way we can correct my bill"
"77","or watch some of the best student films in the country at feet"
"78","first time flying you all do you have a different ratepolicy for media bags thanks"
"79","what is going on with customer service is there anyway to speak to a human asap thank you"
"80","what happened to doom"
"81","why cant you supp the biz traveler likeand have customer service like"
"82","ive applied more then once to be a member of the crew teamiminterested g"
"83","youre the best whenever i begrudgingly use any other airline im delayed and late flight"
"84","i have no interesting flying with you after this i will cancelled flight my next four flights i planned"
"85","it was a disappointing experience which will be shared with every business traveler i meet"
"86","i‚Äôm having trouble adding this flight my wife booked to my elevate account help"
"87","cant bring up my reservation online using flight booking problems code"
"88","random q whats the distribution of elevate avatars i bet that kitty has a disproportionate share"
"89","i lt flying va but life happens and i am trying to my trip jperhican you helpva home page will not let me"
"90","why is the site downwhen will it be back up"
"91","you down with rnp yeah you know me"
"92","hi i did not get points on my elevate account for my most recent flight how do i add the flight and points to my account"
"93","i like the tv and interesting videojust disappointed in cancelled flightled flight when other flights went out to jfk on saturday"
"94","just landed in lax an hour after i should of been here your no late flight bag check is not business travel friendly"
"95","why is flight redirected"
"96","is it me or is your website downbtw your new website isnt a great user experiencetime for another redesign"
"97","i cant check in or add a bag your website isnt working ive tried both desktop and mobile"
"98","letscanned in passengers leave the plane than told someone to remove their bag from st class bin"
"99","what is your phone number i cant find who to call about a flight reservation"
"100","is anyone doing anything there todaywebsite is useless and no one is answering the phone"
"101","trying to add my boy prince to my ressie sf this thursday from lax"
"102","why must a traveler miss a flight to late flight check a bagi missed my morning appointments and you lost my business"
"103","check out new music"
"104","hows a direct flight fllgtsfo have unexpected layover in vegasfuel yet peeps next to me bought for vegas flight"
"105","your no late flight bag check just lost you my business i missed flight and am apt three other people on flight had same exp"
"106","amazing customerservice again ˇíïˇíï raeann in sfshes the best"
"107","called your service line and was hung up on this is awesome"
"108","your site is tripping im trying to check in and im getting the plain text version i am reluctant to enter any card info"
"109","i was scheduled for sfodal flight today changed to th due weather looks like flight still on"
"110","has getaway deals through may fromoneway lots of cool cities"
"111","has getaway deals through may fromoneway lots of cool cities"
"112","has getaway deals through may fromoneway lots of cool cities"
"113","has getaway deals through may fromoneway lots of cool cities"
"114","have a great week ˇúû‚úà"
"115","come back to already we need you to take us out of this horrible cold"
"116","should i be concerned that i am about to fly on a plane that needs to be delayed due to a tech stop"
"117","is the best airline i have flown oneasy to change your reservationhelpful representatives amp a comfortable flying experience"
"118","and again another rep kicked butt naelah represents your team so beautifully thank you"
"119","your beautiful frontend design is down right now but it was cool to still book my ticket bc all your backend was secure"
"120","love the team running gate e at las tonight waited for a delayed flight and they kept things entertaining"
"121","use another browser amp a brand with a reputation built on tech response doesnt have a crossbrowser compatible website"
"122","and now the flight flight booking problems site is totally down folks what is the problem"
"123","i like the customer service but amin delay just for connecting passengers seems too long"
"124","thanks to your outstanding nycjfk crew who moved mountains to get me home to san francisco tonight"
"125","you have the absolute best team and customer service everevery time i fly with you im delightedthank you"
"126","do you provide complimentary upgrades to first class if there are available seats"
"127","i need to change my flight thats scheduled inhours and min wait time on phone im calling intern help"
"128","completely awesome experience last month boslas nonstop thanks for such an awesome flight and depart time"
"129","how can i watch the on my jfkgtsfo flight"
"130","is flight cancelled flightled and what do i do if it is"
"131","you are failing your customers because your check in process does not link to tsa precheck"
"132","us too terrible airline just gave us a hotel hotline number and said sorry"
"133","has flight number from sfo to cabo san lucas arrived yet"
"134","your assistance yesterday when u cancelled flightled our flight was to give us a hotel hotlineshame on you"
"135","another delayed flight"
"136","i need to register a service dog for a first class ticket from sfo gt dulles the phone queue is an hour or longer pls advise"
"137","you rock for making it so i can watch on my flight"
"138","dropped a track on you"
"139","always xoxo"
"140","why cant we book seats on your flights when we buy them or even during check in creates so much anxiety"
"141","youd think paying an extra bucks rt for luggage might afford you hiring an extra hand at"
"142","best customer service rep in the world takes the cake"
"143","can you find us a flt out of lax that is sooner than midnight on monday that would be great customer service ˇòÉ"
"144","please provide status for flighti cant imagine its on time as the web indicatesdude to weather here andor dallas"
"145","you have amazing staff amp super helpful as i just ran the they have spoiled me with comfort"
"146","i paid the premium to fly you across the country you cancelled flight my flight and offer no check fee or upgrade love sad face"
"147","question is it not possible to book a seat for an infant underits not giving me the option but we want a seat for him"
"148","always have it together youre welcome rtyoure so welcome"
"149","home to in back to"
"150","i dont understand why you need a dm to give me an answer on if you have a damaged luggage policy"
"151","does that mean you dont have a policy for destroyed luggage"
"152","is there special assistance if i travel alone w kids andinfant priority boarding"
"153","thank you for checking in tickets are purchased and customer is happy"
"154","is your website ever coming back online"
"155","is flight from love field to sfo definitely cancelled flightled for monday february"
"156","is flight out of lga to dfw on time"
"157","my drivers license is expired by a little over a month can i fly friday morning using my expired license"
"158","having problems flight booking problems on the web site keeps giving me an error and to contact by phonephone isminute wait"
"159","how do i reschedule my cancelled flightled flights online the change button is greyed out"
"160","i rang but there is a wait forminutes i can book the same ticket through a vendor fix your site"
"161","got a flight we were told fortodaychecked my email and its fortomorrow this is unacceptable"
"162","our flight into lga was cancelled flighted were stuck in dallas i called to reschedule told i could get a flight for today"
"163","why dont any of the pairings include red wine only white is offered"
"164","is the website down"
"165","your site seems a little wonked right now may want to have a look tried on two browsers no css"
"166","im disappointed that the agent at the designated silver status check in line closed to assist all pasengers"
"167","plans to include austin to its dallas routetopnews arab"
"168","is it normal to receive no reply from central baggage"
"169","at logan airport and waiting to checkin for my am flight checkin desk not openwhy"
"170","to jump into the dallasaustin market"
"171","beats eps views takes on va luvinvestors business daily"
"172","lister to my show my on monday"
"173","to begin dallasaustin in aprilketr"
"174","congrats you just got all my business from ewr to sfolax fuck you sfoewr was the clincher"
"175","i applied overweeks ago havent heard back and im flying this week"
"176","id love to know what your policy is for damaged luggage"
"177","thank you for the follow"
"178","too many apologies you r the worse airlines dont even respond to your cudtomers"
"179","shame on va for making people spend money in stranded cities when other airlines are landing at jfk who will reimburse me"
"180","i dm you"
"181","can you please have flights insjci have no choice but to fly southwest to vegas ˇòˇò"
"182","too bad you say it takestodays via your confirmation email when i inquired afterweeks you claimtoweeks"
"183","flight from bos gt las tomorrow was cancelled flightled no notification wait times arehour will you rebook on another airline"
"184","ˇòû rtyou‚Äôve met your match got status on another airline upgrade restr"
"185","only way to fly"
"186","if only you guys had flights from cmh"
"187","a lot of apologies being thrown out to customers from what i can seevery sad thanks for nothing worst airline ever"
"188","for all my flight stuff wrong and did nothing about it had ever"
"189","having an issue finding a missing item on a plane can you help me find which airport my plane headed to next"
"190","you will match my status cool"
"191","‚Äúyouve met your matchgot status on another airline upgradeÄùˇôâ"
"192","trying to book a flight with you guys and your website wont let me about to lose my business"
"193","you suck"
"194","thanks"
"195","just dmd same issue persisting"
"196","because we never recd cancelled flightlation notice we were left w no options to fly out of ps driving to la for a red eye mon w kids"
"197","trying to book a flight amp your site is down ˇòÅ"
"198","you have any flights flying into boston tomorrow i need to be home and you cancelled flightled my flight and didnt do anything"
"199","you stink flight cancelled flighted from psp to jfk and no notification or ability to rebookbetter"
"200","i love your guys song were dancing to it for our high school dance revue"
"201","your website is down and im trying to check in"
"202","done thank you for the quick response apparently faster than sitting on hold"
"203","nervous about my flight from dc to lax getting cancelled flightled tomorrow just sent you a dm to help me"
"204","cool picture of another virginamerica plane off our wing what a site"
"205","keep up the great work"
"206","my goodness your people field are amazing under pressure ‚ùÔèfrom texas in crisis please fly me to ny"
"207","thanks for a great flight from la to boston pilots did a great job landing in the snow can we go back to la now"
"208","can you please get me to the new york area before monday afternoon"
"209","thanks so much for the awesome support you guys rock"
"210","seats in rowdont recline should mention that on your website"
"211","flight delayedhours in la due to mechanical problems handle like pros but you could have tossed us a free drink"
"212","why cancelled flight flights today no precipitation to be scared of‚ùÑÔè‚ùÑÔè‚ùÑÔè"
"213","twitter team you guys killed it for rescheduling me asap thank you"
"214","you guys charged me to reschedule a flight that was then cancelled flighted and are now refusing to refund it whats the deal"
"215","can‚Äôt access your website from safari on iphoneseems to work on mac and ipad need iphone to add passbook"
"216","on ipad and iphone clicking the checkin link in the email i received at hrs before flight"
"217","your mobile site is broken shows 
headerelevateusernumofpointsavailablenumber points wont let me checkin"
"218","i was really looking forward to my flight can you let me know when it will be rescheduled"
"219","why cancelled flight flightone sec its delayed on my to airport the next its cancelled flightledgonna email or call me to reschedule"
"220","i did it but there was a problem in the link from the email for checkin thanks"
"221","had to change to another airline to get to dc todaywhy is able to land in dc but not you cost me ugh"
"222","i was so looking forward to my first flight with you today but it was cancelled flightled along with the subsequent one"
"223","when are you putting some great deals from pdx to las or from las to pdx show me your love"
"224","wish i can afford to fly with you next fridaygoing back home love everythingabout your airline"
"225","how are you gonna have a deal from dallas to dc but no deal from dc to dallas"
"226","it‚Äôs just a bug report guys"
"227","hold times at call center are a bit much"
"228","like"
"229","site down"
"230","you have the best flight attendant ever"
"231","awesome rtwatch nominated films at feet"
"232","thanks so much"
"233","trying to reset my password email never arrives help"
"234","the only airline based in silicon valleys"
"235","very nicely done ˇëè"
"236","i‚Äôm looking forward to watching the oscars on my flight home tomorrow i might even get something bubbly to drink"
"237","what is the reasonfor the delay of the departure of vx from jfk this afternoon"
"238","is todays flight from palm springs ca to jfk in ny cancelled flightled"
"239","hahaha ˇòÇyou guys are amazing i love you guysˇíó"
"240","sounds like fun"
"241","any updates on flight from jfk gt lax"
"242","spruce moose"
"243","the css on your site is a right now please fix site unusable"
"244","were on flight vegas to boston today checked in online but our bag count didnt register can i fix that somehow"
"245","classiq luv virgin america greetingz"
"246","hi im trying to do checkin but the website is not working i trieddifferent browsers and the problem continues"
"247","thanks for your great customer service today amp for helping me get all my travel sorted out"
"248","thanks guys sweet route over the rockies"
"249","love the s music blasting at gate in while waiting for flight toonly if i could get an iced coffee"
"250","the passenger in d flt that assaulted me shouldnt have flown i trust hes banned crew filed report to"
"251","current bug on website shows ‚Äòselect departure city‚Äô when selecting destination city"
"252","luggage was severely dentedmissing wheel coming off baggage claim in san luggage agent miranda i think wasnt any help"
"253","thank you for the easy itinerary shift for impending weather quick painless amp free"
"254","if youd love to see more girls be inspired to become pilots rt our free woaw event marchat abq"
"255","thanks good times there and back the entire flightˇç"
"256","beats expectations shares take offsanta cruz sentinel"
"257","any plans to start flying direct from dal to las"
"258","big lovegratitudempower wwerin vipswagbags"
"259","youre doing a great job adding little luxuriesaesthetics that improve the air travel experience thank you keep it up"
"260","requested window seat and confirmed window but got stuck in middle seat not a good way to treat silver memberˇòí"
"261","grand budapest hotel"
"262","this is what you missednext trip to the"
"263","i paid for direct flight on purpose not to have to stop for fuel exhausted frequent flier and nothing for inconvenience"
"264","there is something wrong with you website in safari iphone"
"265","thanks for gate checking my baggage on your full flight dfwlax and giving me early boarding too"
"266","already checked in so the page expired x"
"267","boo for a not refunding a seat upgrade fee i did not want to buy in the first place"
"268","shares rise on q financial resultsusa today"
"269","adds pillows instead of lieflat seats in first class arms race"
"270","i see what you did there"
"271","way to take advantage of"
"272","you know im flying virgin for the fight"
"273","your inflight team makes the experience"
"274","cutest salt and pepper shaker ever just when i think you guys cant get any better you just do"
"275","moved my seat with no notice better seat is cabin select not behind the row i selectedˇëû"
"276","shares up on q results"
"277","fav airline"
"278","we have a hot female pilot sweet dca to sfo"
