"","text","sentiment"
"1","what said","neutral"
"2","plus youve added commercials to the experience tacky","positive"
"3","i didnt today must mean i need to take another trip","neutral"
"4","its really aggressive to blast obnoxious entertainment in your guests faces amp they have little recourse","negative"
"5","and its a really big bad thing about it","negative"
"6","seriously would pay 30 a flight for seats that didnt have this playing
its really the only bad thing about flying va","negative"
"7","yes nearly every time i fly vx this ‚Äúear worm‚Äù won‚Äôt go away ","positive"
"8","really missed a prime opportunity for men without hats parody there httpstcomwpg7grezp","neutral"
"9","well i didnt‚Äbut now i do d","positive"
"10","it was amazing and arrived an hour early youre too good to me","positive"
"11","did you know that suicide is the second leading cause of death among teens 1024","neutral"
"12","i lt3 pretty graphics so much better than minimal iconography d","positive"
"13","this is such a great deal already thinking about my 2nd trip to amp i havent even gone on my 1st trip yet p","positive"
"14","im flying your skies again u take all the away from travel httptcoahlxhhkiyn","positive"
"15","thanks","positive"
"16","sfopdx schedule is still mia","negative"
"17","so excited for my first cross country flight lax to mco ive heard nothing but great things about virgin america ","positive"
"18"," i flew from nyc to sfo last week and couldnt fully sit in my seat due to two large gentleman on either side of me help","negative"
"19","i ‚ùÔè flying  ‚òÔèˇëç","positive"
"20","you know what would be amazingly awesome bosfll please i want to fly with only you","positive"
"21","why are your first fares in may over three times more than other carriers when all seats are available to select","negative"
"22","i love this graphic httptcout5grrwaaa","positive"
"23","i love the hipster innovation you are a feel good brand","positive"
"24","will you be making bosgtlas non stop permanently anytime soon","neutral"
"25","you guys messed up my seating i reserved seating with my friends and you guys gave my seat away  ˇò i want free internet","negative"
"26","status match program  i applied and its been three weeks  called and emailed with no response","negative"
"27","what happened 2 ur vegan food options at least say on ur site so i know i wont be able 2 eat anything for next 6 hrs ","negative"
"28","do you miss me dont worry well be together very soon","neutral"
"29","amazing to me that we cant get any cold air from the vents ","negative"
"30","lax to ewr  middle seat on a red eye such a noob maneuver ","neutral"
"31","hi i just bked a cool birthday trip with you but i cant add my elevate no cause i entered my middle name during flight booking problems ˇò","negative"
"32","are the hours of operation for the club at sfo that are posted online current","neutral"
