"","id","text","sentiment"
"1",569760118591467520,"@AmericanAir I would like to be reimbursed for my shuttle from Denver after #1080 diversion 6+ hours sitting in plane and mech problems","negative"
"2",569760128343220224,"@USAirways What was the point of the merger?  Why not just go out of business if your not turning a profit anymore?","negative"
"3",569760231846072320,"@USAirways your a miserable airline and your loss of revenue is a reflection of that.  Go extinct.  A merger only delays the inevitable","negative"
"4",569760267485122560,"@USAirways pls get me back to Tallahassee:( no one should ever have to be stranded in Gainesville for this long😒","negative"
"5",569761641211895808,"@AmericanAir My connecting flight to DFW was Cancelled Flightled and need to get to IND tomorrow. Any way I can get this sorted out? Been holding 1h08","negative"
"6",569762067097501696,"@united you have now lost my bag. Never ever flying United again #joke","negative"
"7",569762365572558848,"BUT @united just re-booked to BOS; UGGH!! now 3 hour bus to WMASS home. Could have flown to BDL &amp; back to DC in same time. #unitedairlines","negative"
"8",569762394169221120,"@USAirways I've flown 6 figured worth of miles in my lifetime.  This was my first and last ever flight on US Airways","negative"
"9",569762463811383296,"@united not happening.  Delta took care of us.  Peace!","negative"
"10",569762940816990208,".@AmericanAir @USAirways Add insult to injury you guys ""misplaced"" my bag. 

Can't believe you have to pay money to be treated this poorly.","negative"
"11",569763137819267072,"@USAirways you guys have my luggage in San Jose and were supposed to deliver it to my hotel hours ago!! Please contact me.","negative"
"12",569763346431414272,"@united @DelonGerry ual sucks","negative"
"13",569763359278505984,"@united whats UA 1205 lax - newark ??","neutral"
"14",569763942144176128,"@jetblue terrible landing on 915","negative"
"15",569763959240200192,"@AmericanAir Reebooked for tomorrow in AA 1389 LV-DFW at 810 am arriving 12.50pm; still open this flight?","neutral"
"16",569764275700375552,"@AmericanAir has to be the worst airline in the world #yousuck #horrible #Oscars2015","negative"
"17",569764668366938112,"@USAirways Storm or no storm, your customer service is a joke. 6 hour wait time to speak to someone? I will never fly your airline again.","negative"
"18",569764857991467008,"@AmericanAir it doesn't allow me to hold. That's the problem.","negative"
"19",569765076980215808,"@united aaaand 7 hours Late Flightr won't be catching a flight til 6AM...stuck in at airport in a snowstorm with no hotel-how's that for patience?","negative"
"20",569766140332937216,"@AmericanAir working over time tonight?  Got delayed 2 days .. In SJU .. Could be worse :)","negative"
"21",569766247715319808,"@AmericanAir flight Cancelled Flighted! I'm trying to get to #chicago. What are me and @justynmoro gonna do. #flying#flight#travel","negative"
"22",569766662024630272,"@AmericanAir still no reply to my email sent on 11th February. Even sent an email asking for acknowledgment that's it been recieved, nothing","negative"
"23",569766956062134272,"@SouthwestAir you know what'd be beyond awesome? A pair of tickets to the @Imaginedragons show in ATL. A girl can dream #DestinationDragons","positive"
"24",569766964895166464,"@AmericanAir please rebook me from Seattle to Columbus Tue 2/24, locator: KARAAX, name: Mitchell M Neuer","neutral"
